//This is new LogFile[INFO]        com.revature.ers.controllers.UserController       <Login Succesfull!>             21-December-2020 Monday EST 23:28:52                
[INFO]        com.revature.ers.controllers.EmployeeController       ErsReimbursment [reimbId=0, amount=12.45, submitted=null, resolved=null, description=buy pizza, author=ErsUser [userId=8, username=emp2, password=, firstname=Thomas, lastname=Brown, email=thobr@yahoo.com.com, role=ErsUserRole [userRoleId=1, userRole=EMPLOYEE]], resolver=null, status=ErsRedimbursementStatus [statusId=100, status=], type=ErsReimbursmentType [typeId=3, type=]]             21-December-2020 Monday EST 23:31:05                
[INFO]        com.revature.ers.controllers.EmployeeController       <Submited Reibursment Successfully!>             21-December-2020 Monday EST 23:31:49                
[INFO]        com.revature.ers.controllers.EmployeeController       ErsReimbursment [reimbId=0, amount=2500.01, submitted=null, resolved=null, description=airplane ticket to work with client, author=ErsUser [userId=8, username=emp2, password=, firstname=Thomas, lastname=Brown, email=thobr@yahoo.com.com, role=ErsUserRole [userRoleId=1, userRole=EMPLOYEE]], resolver=null, status=ErsRedimbursementStatus [statusId=100, status=], type=ErsReimbursmentType [typeId=2, type=]]             21-December-2020 Monday EST 23:31:49                
[INFO]        com.revature.ers.controllers.EmployeeController       <Submited Reibursment Successfully!>             21-December-2020 Monday EST 23:32:19                
[INFO]        com.revature.ers.controllers.EmployeeController       ErsReimbursment [reimbId=0, amount=300.0, submitted=null, resolved=null, description=hotel stay for meeting, author=ErsUser [userId=8, username=emp2, password=, firstname=Thomas, lastname=Brown, email=thobr@yahoo.com.com, role=ErsUserRole [userRoleId=1, userRole=EMPLOYEE]], resolver=null, status=ErsRedimbursementStatus [statusId=100, status=], type=ErsReimbursmentType [typeId=1, type=]]             21-December-2020 Monday EST 23:32:19                
[INFO]        com.revature.ers.controllers.UserController       <Login Succesfull!>             21-December-2020 Monday EST 23:32:35                
[INFO]        com.revature.ers.controllers.UserController       ErsUser [userId=9, username=mng1, password=, firstname=Hieu, lastname=Le, email=hile@drexel.edu, role=ErsUserRole [userRoleId=2, userRole=MANAGER]]             21-December-2020 Monday EST 23:32:35                
[INFO]        com.revature.ers.controllers.UserController       <Login Succesfull!>             21-December-2020 Monday EST 23:32:44                
[INFO]        com.revature.ers.controllers.UserController       ErsUser [userId=10, username=mng2, password=, firstname=Ben, lastname=Franklin, email=benfr@gmail.com, role=ErsUserRole [userRoleId=2, userRole=MANAGER]]             21-December-2020 Monday EST 23:32:44                
[INFO]        com.revature.ers.controllers.ManagerController       <Request All Reimbursments Succmssfully!>             21-December-2020 Monday EST 23:32:49                
[INFO]        com.revature.ers.controllers.ManagerController       <Request All Reimbursments Succmssfully!>             21-December-2020 Monday EST 23:32:54                
[INFO]        com.revature.ers.controllers.ManagerController       <Request All Reimbursments Succmssfully!>             21-December-2020 Monday EST 23:32:59                
[INFO]        com.revature.ers.controllers.ManagerController       <Request All Reimbursments Succmssfully!>             21-December-2020 Monday EST 23:40:35                
[INFO]        com.revature.ers.controllers.ManagerController       <Request All Reimbursments Succmssfully!>             21-December-2020 Monday EST 23:40:42                
[INFO]        com.revature.ers.controllers.ManagerController       <Request All Reimbursments Succmssfully!>             21-December-2020 Monday EST 23:41:08                
[INFO]        com.revature.ers.controllers.UserController       <Login Succesfull!>             21-December-2020 Monday EST 23:41:35                
[INFO]        com.revature.ers.controllers.UserController       ErsUser [userId=10, username=mng2, password=, firstname=Ben, lastname=Franklin, email=benfr@gmail.com, role=ErsUserRole [userRoleId=2, userRole=MANAGER]]             21-December-2020 Monday EST 23:41:35                
[INFO]        com.revature.ers.controllers.ManagerController       <Request All Reimbursments Succmssfully!>             21-December-2020 Monday EST 23:41:41                
[INFO]        com.revature.ers.controllers.ManagerController       <Request All Reimbursments Succmssfully!>             21-December-2020 Monday EST 23:42:20                
[INFO]        com.revature.ers.controllers.ManagerController       <Request All Reimbursments Succmssfully!>             21-December-2020 Monday EST 23:42:55                
[INFO]        com.revature.ers.controllers.ManagerController       <Request All Reimbursments Succmssfully!>             21-December-2020 Monday EST 23:43:02                
[INFO]        com.revature.ers.controllers.ManagerController       <Request All Reimbursments Succmssfully!>             21-December-2020 Monday EST 23:43:57                
[INFO]        com.revature.ers.controllers.ManagerController       <Request All Reimbursments Succmssfully!>             21-December-2020 Monday EST 23:44:02                
[INFO]        com.revature.ers.controllers.ManagerController       <Request All Reimbursments Succmssfully!>             21-December-2020 Monday EST 23:44:10                
[INFO]        com.revature.ers.controllers.ManagerController       <Update Reibursment Successfully!>             21-December-2020 Monday EST 23:44:19                
[INFO]        com.revature.ers.controllers.ManagerController       <Request All Reimbursments Succmssfully!>             21-December-2020 Monday EST 23:44:23                
[INFO]        com.revature.ers.controllers.ManagerController       <Request All Reimbursments Succmssfully!>             21-December-2020 Monday EST 23:44:30                
[INFO]        com.revature.ers.controllers.ManagerController       <Request All Reimbursments Succmssfully!>             21-December-2020 Monday EST 23:44:36                
[INFO]        com.revature.ers.controllers.ManagerController       <Request All Reimbursments Succmssfully!>             21-December-2020 Monday EST 23:44:41                
[INFO]        com.revature.ers.controllers.ManagerController       <Update Reibursment Successfully!>             21-December-2020 Monday EST 23:44:48                
[INFO]        com.revature.ers.controllers.ManagerController       <Request All Reimbursments Succmssfully!>             21-December-2020 Monday EST 23:44:51                
[INFO]        com.revature.ers.controllers.ManagerController       <Request All Reimbursments Succmssfully!>             21-December-2020 Monday EST 23:45:07                
[INFO]        com.revature.ers.controllers.ManagerController       <Request All Reimbursments Succmssfully!>             21-December-2020 Monday EST 23:45:16                
